Offset(P)            #Ptr   #Hnd Access Name
0x0000000001ff8bd8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\security.dll
0x0000000002004650      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x00000000020046e8      1      1 ------ \Device\NamedPipe\net\NtControlPipe7
0x0000000002005848      1      1 ------ \Device\NamedPipe\SfcApi
0x0000000002005930      2      1 ------ \Device\NamedPipe\SfcApi
0x000000000200cd20      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x000000000200d6b0      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\SchedLgU.Txt
0x000000000200df90      5      1 ------ \Device\Afd\Endpoint
0x00000000020147a8      1      0 RW-rw- \Device\HarddiskVolume1\WINDOWS\0.log
0x0000000002014a38      2      1 ------ \Device\NamedPipe\PCHHangRepExecPipe
0x0000000002014b30      1      1 ------ \Device\NamedPipe\srvsvc
0x000000000201f820      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\041D
0x000000000201f948      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\041b
0x0000000002021820      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0419
0x0000000002021948      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0416
0x0000000002022678      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002022720      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002022998      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\narrator.exe
0x0000000002025870      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0415
0x0000000002025998      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0414
0x0000000002026818      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0413
0x0000000002026900      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0412
0x0000000002026998      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x00000000020288d8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Help\Tours\mmTour
0x0000000002028998      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\IME\TINTLGNT
0x0000000002029848      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\spool\drivers\color
0x0000000002029970      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\PeerNet
0x000000000202a6b0      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\Speech\1033
0x000000000202a748      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\SpeechEngines\Microsoft
0x000000000202a870      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\wbem\snmp
0x000000000202a998      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Resources\Themes\Luna\Shell\Metallic
0x000000000202b638      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Internet Explorer
0x000000000202b8b0      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\VGX
0x000000000202c938      4      1 RW---- \Device\HarddiskVolume1\Documents and Settings\LocalService\NTUSER.DAT
0x000000000202d848      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\MSSoap\Binaries\Resources\1033
0x000000000202d998      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\MSSoap\Binaries
0x000000000202e820      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\oobe
0x000000000202e948      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Outlook Express
0x0000000002030998      2      1 ------ \Device\NamedPipe\spoolss
0x0000000002031710      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\ime\chsime\applets
0x0000000002031970      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball
0x0000000002033748      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\ime\shared\res
0x0000000002033870      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\npp
0x0000000002033998      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\mui
0x00000000020348e8      3      1 ------ \Device\NamedPipe\net\NtControlPipe5
0x0000000002037718      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x000000000203c918      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x000000000203f7b8      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\SpeechEngines\Microsoft\TTS\1033
0x000000000203f8e0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\Restore
0x0000000002042718      4      1 RW---- \Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
0x00000000020456b8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Resources\Themes\Luna\Shell\Homestead
0x0000000002045870      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Resources\Themes\Luna\Shell\NormalColor
0x0000000002045998      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\Speech
0x0000000002084c78      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\hidphone.tsp
0x0000000002084d10      1      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\h323log.txt
0x00000000020865f0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0000000002088ab8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0000000002088bf0      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\Programs\Accessories\Communications\Wireless Network Setup Wizard.lnk
0x0000000002089978      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002089bd0      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\magnify.exe
0x000000000208b198      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000208b5d8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x000000000208c5f8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0424
