Volatility 3 Framework 2.10.0

Offset	Name
0x830565a5bda0	\Users\rashmi\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2024-09-19.1347.3036.2.aodl
0x830565a5c0c0	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncViews.dll
0x830565a5c3e0	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncEvents.dll
0x830565a5c700	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\first_party_sets.db
0x830565a5c890	\Program Files\Microsoft OneDrive\24.171.0825.0002\libssl-3-x64.dll
0x830565a5ca20	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncFSNtfsWB.dll
0x830565a5cbb0	\Program Files\Microsoft OneDrive\24.171.0825.0002\libcrypto-3-x64.dll
0x830565a5cd40	\Program Files\Microsoft OneDrive\24.171.0825.0002\WebView2Loader.dll
0x830565a5ced0	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncFSCache.dll
0x830565a5d1f0	\Program Files\Microsoft OneDrive\24.171.0825.0002\Qt5WinExtras.dll
0x830565a5d380	\Users\rashmi\AppData\Local\Microsoft\OneDrive\settings\CxP.db
0x830565a5d510	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncFSNtfs.dll
0x830565a5d6a0	\Program Files\Microsoft OneDrive\24.171.0825.0002\Qt5Quick.dll
0x830565a5d830	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncFALWB.dll
0x830565a5d9c0	\Users\rashmi\AppData\Local\Microsoft\OneDrive\settings\CxP.db-wal
0x830565a5db50	\Program Files\Microsoft OneDrive\24.171.0825.0002\adal.dll
0x830565a5dce0	\Program Files\Microsoft OneDrive\24.171.0825.0002\WnsClientApi.dll
0x830565a5de70	\Program Files\Microsoft OneDrive\24.171.0825.0002\Qt5Qml.dll
0x830565a5e190	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncFS.dll
0x830565a5e320	\Program Files\Microsoft OneDrive\24.171.0825.0002\Qt5QmlModels.dll
0x830565a5e4b0	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncSqlite3.dll
0x830565a5e640	\Program Files\Microsoft OneDrive\24.171.0825.0002\msvcp140_atomic_wait.dll
0x830565a5e7d0	\Program Files\Microsoft OneDrive\24.171.0825.0002\Qt5Core.dll
0x830565a5e960	\Program Files\Microsoft OneDrive\24.171.0825.0002\Qt5Gui.dll
0x830565a5eaf0	\Program Files\Microsoft OneDrive\24.171.0825.0002\Qt5Widgets.dll
0x830565a5ec80	\Windows\System32\credui.dll
0x830565a5ee10	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncCxPImpl.dll
0x830565a5f130	\Program Files\Microsoft OneDrive\24.171.0825.0002\Qt5Network.dll
0x830565a5f2c0	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncCxP.dll
0x830565a5f450	\Program Files\Microsoft OneDrive\24.171.0825.0002\msvcp140_1.dll
0x830565a5f480	斥茅￿斥茅￿
0x830565a5f770	\Users\rashmi\AppData\Local\Microsoft\OneDrive\settings\Personal\SyncEngineDatabase.db-wal
0x830565a5f900	\Users\rashmi\AppData\Local\Microsoft\OneDrive\settings\Personal\SyncEngineDatabase.db-shm
0x830565a5fdb0	\Users\rashmi\AppData\Local\Microsoft\OneDrive\settings\Personal\SettingsDatabase.db
0x830565a600d0	\Users\rashmi\AppData\Local\Microsoft\OneDrive\settings\Personal\OCSI.db
0x830565a603f0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Network\Reporting and NEL
0x830565a608a0	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSync.Resources.dll
0x830565a60a30	\Users\rashmi\AppData\Local\Microsoft\OneDrive\settings\Personal\SyncEngineDatabase.db
0x830565a60bc0	\Users\rashmi\AppData\Local\Microsoft\OneDrive\settings\CxP.db-shm
0x830565a60ee0	\Users\rashmi\AppData\Local\Microsoft\OneDrive\settings\Personal\OCSI.db-wal
0x830565a61200	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSync.LocalizedResources.dll
0x830565a61840	\Users\rashmi\AppData\Local\Microsoft\OneDrive\settings\Personal\SettingsDatabase.db-wal
0x830565a619d0	\Program Files (x86)\Microsoft\Edge\Application\128.0.2739.79\msedge_elf.dll
0x830565a61b60	\Program Files (x86)\Microsoft\Edge\Application\128.0.2739.79\msedge.dll
0x830565a61cf0	\Windows\System32\en-US\KernelBase.dll.mui
0x830565a61e80	\$Directory
0x830565a62330	\Program Files\Microsoft OneDrive\24.171.0825.0002\platforms\qwindows.dll
0x830565a62650	\Users\rashmi\AppData\Local\Microsoft\OneDrive\settings\Personal\SettingsDatabase.db-shm
0x830565a62970	\Users\rashmi\AppData\Local\Microsoft\OneDrive\settings\Personal\OCSI.db-shm
0x830565a62b00	\Windows\Prefetch\PfPre_cd2e207e.mkd
0x830565a62e20	\Windows\System32\provsvc.dll
0x830565a63140	\AsyncConnectHlp
0x830565a635f0	\Windows\System32\en-US\sysmain.dll.mui
0x830565a63910	\$Directory
0x830565a63c30	\$CachedWriteThrough
0x830565a63dc0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Network Action Predictor
0x830565a640e0	\Windows\System32\en-US\kernel32.dll.mui
0x830565a64270	\Users\rashmi\AppData\Local\Microsoft\OneDrive\setup\logs\Update_2024-09-19_134722_3036-2992.log
0x830565a64430	䒈斦茅￿䒈斦茅￿
0x830565a64590	\Program Files\Microsoft OneDrive\24.171.0825.0002\en\FileSync.LocalizedResources.dll.mui
0x830565a648b0	\CMNotify
0x830565a64a40	\CMNotify
0x830565a653a0	\Program Files (x86)\Microsoft\Edge\Application\128.0.2739.79\icudtl.dat
0x830565a65530	\CMNotify
0x830565a65850	\CMNotify
0x830565a65e90	\Program Files\Microsoft OneDrive\24.171.0825.0002\Microsoft.UI.Xaml.dll
0x830565a661b0	\Endpoint
0x830565a66340	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e
0x830565a66ca0	\Endpoint
0x830565a66e30	\Program Files (x86)\Microsoft\Edge\Application\128.0.2739.79\msedge_100_percent.pak
0x830565a67150	\Endpoint
0x830565a67920	\$Directory
0x830565a67c40	\Windows\System32\Windows.System.Profile.PlatformDiagnosticsAndUsageDataSettings.dll
0x830565a680f0	\Program Files (x86)\Microsoft\Edge\Application\128.0.2739.79\msedge_200_percent.pak
0x830565a68410	\Windows\System32\en-US\mswsock.dll.mui
0x830565a685a0	\Program Files (x86)\Microsoft\Edge\Application\128.0.2739.79\Locales\en-US.pak
0x830565a688c0	\$Directory
0x830565a68a50	\Program Files (x86)\Microsoft\Edge\Application\128.0.2739.79\resources.pak
0x830565a69220	\Windows\System32\winevt\Logs\Microsoft-Windows-ReadyBoost%4Operational.evtx
0x830565a699f0	\Windows\Fonts\segoeui.ttf
0x830565a6a1c0	\Endpoint
0x830565a6a350	\Windows\System32\AssignedAccessRuntime.dll
0x830565a6ab20	\Windows\System32\winevt\Logs\Microsoft-Windows-Program-Compatibility-Assistant%4CompatAfterUpgrade.evtx
0x830565a6b2f0	\CMApi
0x830565a6b480	\Windows\System32\MicrosoftAccountWAMExtension.dll
0x830565a6b610	\Program Files\Microsoft OneDrive\Resources.pri
0x830565a6b7a0	\Windows\System32\bitsperf.dll
0x830565a6b930	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\ShaderCache\index
0x830565a6c100	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\ShaderCache\data_3
0x830565a6c5b0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\ShaderCache\index
0x830565a6c740	\Sessions\1\AppContainerNamedObjects\S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651
0x830565a6ca60	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\ShaderCache\data_2
0x830565a6d230	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\ShaderCache\data_1
0x830565a6e360	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\ShaderCache\data_0
0x830565a6e4f0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\ShaderCache\data_1
0x830565a6e810	\Windows\System32\en-US\crypt32.dll.mui
0x830565a6e9a0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\ShaderCache\data_2
0x830565a6eb30	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\ShaderCache\data_0
0x830565a6ecc0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\ShaderCache\data_3
0x830565a6f940	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Web Data
0x830565a6fc60	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Shared Dictionary\db
0x830565a70110	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\History
0x830565a702a0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Visited Links
0x830565a705c0	\$Directory
0x830565a70750	\$Directory
0x830565a70a70	\$Directory
0x830565a70c00	\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.CBS_120.2212.4180.0_x64__cw5n1h2txyewy\ActivationStore.dat
0x830565a710b0	\Windows\System32\Windows.System.UserProfile.DiagnosticsSettings.dll
0x830565a72500	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Nurturing\campaign_history
0x830565a72690	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Top Sites
0x830565a72e60	\$Directory
0x830565a73180	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Login Data
0x830565a73ae0	\Windows\System32\ieproxy.dll
0x830565a74120	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Favicons
0x830565a74470	䓈斧茅￿䓈斧茅￿
0x830565a745d0	\$Directory
0x830565a75d40	\$Directory
0x830565a75ed0	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe
0x830565a76830	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Service Worker\Database\000050.ldb
0x830565a769c0	\$Directory
0x830565a76e70	\$Directory
0x830565a77190	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\first_party_sets.db-journal
0x830565a77640	\Program Files\Microsoft OneDrive\24.171.0825.0002\Microsoft.ReactNative.dll
0x830565a77960	\Program Files\Microsoft OneDrive\24.171.0825.0002\msvcp140_app.dll
0x830565a782c0	\Program Files\Microsoft OneDrive\24.171.0825.0002\vcruntime140_1_app.dll
0x830565a78450	\Program Files\Microsoft OneDrive\24.171.0825.0002\vcruntime140_app.dll
0x830565a78db0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Service Worker\Database\000052.ldb
0x830565a793f0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\shared_proto_db\metadata\LOG
0x830565a7a200	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Service Worker\Database\000055.ldb
0x830565a7a840	\Program Files\Microsoft OneDrive\24.171.0825.0002\CheckboxWindows.dll
0x830565a7b7e0	\Windows\System32\WinMetadata\Windows.UI.winmd
0x830565a7bc90	\Windows\System32\WinMetadata\Windows.UI.Xaml.winmd
0x830565a7c2d0	\Program Files\Microsoft OneDrive\24.171.0825.0002\ReactNativePicker.dll
0x830565a7cdc0	\$Directory
0x830565a7d590	\Program Files\Microsoft OneDrive\24.171.0825.0002\DateTimePicker.dll
0x830565a7dd60	\Program Files\Microsoft OneDrive\24.171.0825.0002\RNSVG.dll
0x830565a7e080	\$Directory
0x830565a7f660	\$Directory
0x830565a80600	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\EdgeEDrop\EdgeEDropSQLite.db
0x830565a80c40	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Sync Data\LevelDB\000003.ldb
0x830565a810f0	\Windows\System32
0x830565a81280	\Windows\System32\winevt\Logs\Microsoft-Windows-Security-Mitigations%4KernelMode.evtx
0x830565a818c0	\Windows\System32\en-US\ESENT.dll.mui
0x830565a82540	\$Directory
0x830565a83350	\Windows\System32\UIRibbon.dll
0x830565a83800	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\resources.pri
0x830565a84160	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\SharedStorage
0x830565a844b0	䔈斨茅￿䔈斨茅￿
0x830565a86b90	\Windows\System32\Windows.UI.FileExplorer.dll
0x830565a871d0	\$Directory
0x830565a87810	\Windows\WinSxS\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.19041.2251_none_91a40448cc8846c1
0x830565a88170	\Program Files (x86)\Microsoft\Edge\Application\128.0.2739.79\v8_context_snapshot.bin
0x830565a88c60	\Program Files\Microsoft OneDrive\24.171.0825.0002\hermes.dll
0x830565a89c00	\Windows\System32\en-US\UIRibbon.dll.mui
0x830565a8a880	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e
0x830565a8be60	\Windows\System32\en-US\windows.storage.dll.mui
0x830565a8cae0	\Windows\System32\en-US\Windows.Storage.Search.dll.mui
0x830565a8d440	\Windows\System32\mf.dll
0x830565a8e700	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\shared_proto_db\metadata\000066.ldb
0x830565a8ed40	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\data_1
0x830565a8eed0	\Program Files (x86)\Microsoft\Edge\Application\128.0.2739.79\libEGL.dll
0x830565a8f1f0	\$Directory
0x830565a8f380	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\data_0
0x830565a8f510	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\GrShaderCache\index
0x830565a8f6a0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Network\Cookies
0x830565a8f9c0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\data_3
0x830565a8fb50	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\data_3
0x830565a90190	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Network\Trust Tokens
0x830565a90320	\Program Files (x86)\Microsoft\Edge\Application\128.0.2739.79\libGLESv2.dll
0x830565a904b0	\Windows\System32\apisampling.dll
0x830565a90640	\$Directory
0x830565a90960	\Program Files (x86)\Microsoft\Edge\Application\128.0.2739.79\d3dcompiler_47.dll
0x830565a90e10	\Windows\System32\pcacli.dll
0x830565a91130	\Windows\System32\en-US\kernel32.dll.mui
0x830565a91450	\Program Files (x86)\Microsoft\Edge\Application\128.0.2739.79\vk_swiftshader.dll
0x830565a915e0	\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ClockFlyoutExperience.dll
0x830565a91900	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\GraphiteDawnCache\data_2
0x830565a91c20	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\GraphiteDawnCache\index
0x830565a91db0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\GraphiteDawnCache\data_3
0x830565a923f0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\GraphiteDawnCache\data_1
0x830565a92710	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Safe Browsing Network\Safe Browsing Cookies
0x830565a92a30	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\GrShaderCache\data_1
0x830565a92d50	\Windows\System32\en-US\propsys.dll.mui
0x830565a92ee0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Safe Browsing Network\Safe Browsing Cookies
0x830565a93390	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\GrShaderCache\data_0
0x830565a93520	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\GrShaderCache\data_1
0x830565a939d0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\GraphiteDawnCache\data_0
0x830565a93e80	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\GraphiteDawnCache\data_1
0x830565a944c0	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e
0x830565a94650	\Windows\System32\en-US\winnlsres.dll.mui
0x830565a947e0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Local Storage\leveldb\000064.ldb
0x830565a94c90	\CMApi
